60,60,60,60,6S,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
40,40,40,40,40,40,40,40,40,40
40,40,40,40,40,40,40,40,40,40
40,40,40,40,40,40,40,40,40,40
30,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,30
20,20,20,20,0H,0H,20,20,20,20
20,20,20,20,0H,0H,20,20,20,20
20,20,20,20,0H,0H,20,20,20,20
10,10,10,0H,0H,0H,0H,10,10,10
10,10,10,0H,0H,0H,0H,10,10,10
10,10,10,0H,0H,0H,0H,10,10,10
00,00,00,00,0H,0H,00,00,00,00
00,00,00,00,00,00,00,00,00,00
00,00,00,00,0G,00,00,00,00,00
